#SITE,#telescope,#instrument,#Prefix
cp,soar,goodman,psg
cp,soar,goodmanspectrograph,psg
cp,soar,osiris,pso
cp,soar,soi,psi
cp,soar,spartan,pss
cp,soar,spartanircamera,pss
cp,soar,sam,psa
ct,ct4m,decam,c4d
ct,ct4m,cosmos,c4c
ct,ct4m,ispi,c4i
ct,ct4m,mosaic,c4m
ct,ct4m,newfirm,c4n
ct,ct4m,arcoiris,c4ai
ct,ct15m,chiron,c15e
ct,ct15m,echelle,c15e
ct,ct15m,arcon,c15s
ct,ct13m,andicam,c13a
ct,ct1m,y4kcam,c1i
ct,ct09m,arcon,c09i
ct,ctlab,cosmos,clc
kp,kp4m,mosaic,k4m
kp,kp4m,mosaic3,k4m
kp,kp4m,newfirm,k4n
kp,kp4m,kosmos,k4k
kp,kp4m,cosmos,k4k
kp,kp4m,ice,k4i
kp,kp4m,wildfire,k4w
kp,kp4m,flamingos,k4f
kp,kp35m,whirc,kww
kp,wiyn,whirc,kww
kp,kp35m,bench,kwb
kp,kp35m,minimo/ice,kwi
kp,kp35m,(p)odi,kwo
kp,kp21m,mop/ice,k21i
kp,kp21m,wildfire,k21w
kp,kp21m,falmingos,k21f
kp,kp21m,gtcam,k21g
kp,kpcf,mop/ice,kcfs
kp,kp09m,hdi,k09h
kp,kp09m,mosaic,k09m
kp,kp09m,ice,k09i
kp,bok23m,90prime,ksb
